# macOS bundled-font coverage, contiguous renderable ranges.
# format: U+XXXX U+YYYY count   (inclusive; a single scalar omits the end)
# os: Version 26.5.1 (Build 25F80)
# base font: PingFang TC   bundled fonts merged: 655

U+0000 U+0377  888
U+037A U+037F  6
U+0384 U+038A  7
U+038C        1
U+038E U+03A1  20
U+03A3 U+052F  397
U+0531 U+0556  38
U+0559 U+055F  7
U+0561 U+0587  39
U+0589 U+058A  2
U+058F        1
U+0591 U+05C7  55
U+05D0 U+05EA  27
U+05F0 U+05F4  5
U+0600 U+0604  5
U+0606 U+061C  23
U+061E U+070D  240
U+070F U+074A  60
U+074D U+077F  51
U+07C0 U+07FA  59
U+07FD U+07FF  3
U+08FF U+0983  133
U+0985 U+098C  8
U+098F U+0990  2
U+0993 U+09A8  22
U+09AA U+09B0  7
U+09B2        1
U+09B6 U+09B9  4
U+09BC U+09C4  9
U+09C7 U+09C8  2
U+09CB U+09CE  4
U+09D7        1
U+09DC U+09DD  2
U+09DF U+09E3  5
U+09E6 U+09FB  22
U+09FD        1
U+0A01 U+0A03  3
U+0A05 U+0A0A  6
U+0A0F U+0A10  2
U+0A13 U+0A28  22
U+0A2A U+0A30  7
U+0A32 U+0A33  2
U+0A35 U+0A36  2
U+0A38 U+0A39  2
U+0A3C        1
U+0A3E U+0A42  5
U+0A47 U+0A48  2
U+0A4B U+0A4D  3
U+0A51        1
U+0A59 U+0A5C  4
U+0A5E        1
U+0A66 U+0A75  16
U+0A81 U+0A83  3
U+0A85 U+0A8D  9
U+0A8F U+0A91  3
U+0A93 U+0AA8  22
U+0AAA U+0AB0  7
U+0AB2 U+0AB3  2
U+0AB5 U+0AB9  5
U+0ABC U+0AC5  10
U+0AC7 U+0AC9  3
U+0ACB U+0ACD  3
U+0AD0        1
U+0AE0 U+0AE3  4
U+0AE6 U+0AF1  12
U+0AF9        1
U+0B01 U+0B03  3
U+0B05 U+0B0C  8
U+0B0F U+0B10  2
U+0B13 U+0B28  22
U+0B2A U+0B30  7
U+0B32 U+0B33  2
U+0B35 U+0B39  5
U+0B3C U+0B44  9
U+0B47 U+0B48  2
U+0B4B U+0B4D  3
U+0B56 U+0B57  2
U+0B5C U+0B5D  2
U+0B5F U+0B63  5
U+0B66 U+0B77  18
U+0B82 U+0B83  2
U+0B85 U+0B8A  6
U+0B8E U+0B90  3
U+0B92 U+0B95  4
U+0B99 U+0B9A  2
U+0B9C        1
U+0B9E U+0B9F  2
U+0BA3 U+0BA4  2
U+0BA8 U+0BAA  3
U+0BAE U+0BB9  12
U+0BBE U+0BC2  5
U+0BC6 U+0BC8  3
U+0BCA U+0BCD  4
U+0BD0        1
U+0BD7        1
U+0BE4 U+0BFA  23
U+0C00 U+0C03  4
U+0C05 U+0C0C  8
U+0C0E U+0C10  3
U+0C12 U+0C28  23
U+0C2A U+0C39  16
U+0C3D U+0C44  8
U+0C46 U+0C48  3
U+0C4A U+0C4D  4
U+0C55 U+0C56  2
U+0C58 U+0C5A  3
U+0C60 U+0C63  4
U+0C66 U+0C6F  10
U+0C78 U+0C83  12
U+0C85 U+0C8C  8
U+0C8E U+0C90  3
U+0C92 U+0CA8  23
U+0CAA U+0CB3  10
U+0CB5 U+0CB9  5
U+0CBC U+0CC4  9
U+0CC6 U+0CC8  3
U+0CCA U+0CCD  4
U+0CD5 U+0CD6  2
U+0CDE        1
U+0CE0 U+0CE3  4
U+0CE6 U+0CEF  10
U+0CF1 U+0CF2  2
U+0D01 U+0D03  3
U+0D05 U+0D0C  8
U+0D0E U+0D10  3
U+0D12 U+0D3A  41
U+0D3D U+0D44  8
U+0D46 U+0D48  3
U+0D4A U+0D4E  5
U+0D57        1
U+0D5F U+0D63  5
U+0D66 U+0D75  16
U+0D79 U+0D7F  7
U+0D82 U+0D83  2
U+0D85 U+0D96  18
U+0D9A U+0DB1  24
U+0DB3 U+0DBB  9
U+0DBD        1
U+0DC0 U+0DC6  7
U+0DCA        1
U+0DCF U+0DD4  6
U+0DD6        1
U+0DD8 U+0DDF  8
U+0DF2 U+0DF4  3
U+0E00 U+0E3A  59
U+0E3F U+0E5B  29
U+0E81 U+0E82  2
U+0E84        1
U+0E87 U+0E88  2
U+0E8A        1
U+0E8D        1
U+0E94 U+0E97  4
U+0E99 U+0E9F  7
U+0EA1 U+0EA3  3
U+0EA5        1
U+0EA7        1
U+0EAA U+0EAB  2
U+0EAD U+0EB9  13
U+0EBB U+0EBD  3
U+0EC0 U+0EC4  5
U+0EC6        1
U+0EC8 U+0ECD  6
U+0ED0 U+0ED9  10
U+0EDC U+0EDD  2
U+0F00 U+0F47  72
U+0F49 U+0F6C  36
U+0F71 U+0F97  39
U+0F99 U+0FBC  36
U+0FBE U+0FCC  15
U+0FCE U+0FDA  13
U+1000 U+10C5  198
U+10D0 U+1159  138
U+115F U+11A2  68
U+11A8 U+11F9  82
U+1200 U+1248  73
U+124A U+124D  4
U+1250 U+1256  7
U+1258        1
U+125A U+125D  4
U+1260 U+1288  41
U+128A U+128D  4
U+1290 U+12B0  33
U+12B2 U+12B5  4
U+12B8 U+12BE  7
U+12C0        1
U+12C2 U+12C5  4
U+12C8 U+12D6  15
U+12D8 U+1310  57
U+1312 U+1315  4
U+1318 U+135A  67
U+135D U+137C  32
U+1380 U+1399  26
U+13A0 U+169C  765
U+16A0 U+16F0  81
U+1700 U+1715  22
U+171F        1
U+1735 U+1736  2
U+1780 U+17DD  94
U+17E0 U+17E9  10
U+17F0 U+17F9  10
U+1800 U+18F5  246
U+19E0 U+19FF  32
U+1BC0 U+1BF3  52
U+1BFC U+1BFF  4
U+1C90 U+1CBA  43
U+1CBD U+1CBF  3
U+1CD0        1
U+1CD2 U+1CD3  2
U+1CDA        1
U+1CF2 U+1CF5  4
U+1CF8 U+1CF9  2
U+1D00 U+1DCF  208
U+1DD3 U+1DD9  7
U+1DDB U+1DE6  12
U+1DFE U+1F15  280
U+1F18 U+1F1D  6
U+1F20 U+1F45  38
U+1F48 U+1F4D  6
U+1F50 U+1F57  8
U+1F59        1
U+1F5B        1
U+1F5D        1
U+1F5F U+1F7D  31
U+1F80 U+1FB4  53
U+1FB6 U+1FC4  15
U+1FC6 U+1FD3  14
U+1FD6 U+1FDB  6
U+1FDD U+1FEF  19
U+1FF2 U+1FF4  3
U+1FF6 U+1FFE  9
U+2000 U+2064  101
U+206A U+2071  8
U+2074 U+208E  27
U+2090 U+209C  13
U+20A0 U+20BF  32
U+20C1        1
U+20D0 U+20E1  18
U+20E3 U+20F0  14
U+2100 U+2186  135
U+2189        1
U+2190 U+2426  663
U+2440 U+244A  11
U+2460 U+26FF  672
U+2701 U+275E  94
U+2761 U+27CD  109
U+27D0 U+2B4C  893
U+2B50 U+2B55  6
U+2B58        1
U+2B60 U+2B65  6
U+2B82 U+2B83  2
U+2B90 U+2B91  2
U+2B95        1
U+2C60 U+2C7F  32
U+2D80 U+2D96  23
U+2DA0 U+2DA6  7
U+2DA8 U+2DAE  7
U+2DB0 U+2DB6  7
U+2DB8 U+2DBE  7
U+2DC0 U+2DC6  7
U+2DC8 U+2DCE  7
U+2DD0 U+2DD6  7
U+2DD8 U+2DDE  7
U+2DE0 U+2E18  57
U+2E1A U+2E30  23
U+2E3A U+2E3B  2
U+2E40        1
U+2E80 U+2E99  26
U+2E9B U+2EF3  89
U+2F00 U+2FD5  214
U+2FF0 U+2FFB  12
U+3000 U+303F  64
U+3041 U+3096  86
U+3099 U+30FF  103
U+3105 U+312F  43
U+3131 U+318E  94
U+3190 U+31E5  86
U+31F0 U+321C  45
U+3220 U+324F  48
U+3251 U+327B  43
U+327E U+32CB  78
U+32D0 U+3376  167
U+337B U+33DD  99
U+33E0 U+33FE  31
U+3400 U+A4C6  28871
U+A4D0 U+A4FF  48
U+A640 U+A69F  96
U+A700 U+A78E  143
U+A790 U+A793  4
U+A7A0 U+A7AA  11
U+A7AF        1
U+A7B5        1
U+A7F8 U+A7FF  8
U+A830 U+A839  10
U+A92E        1
U+A9E0 U+A9FE  31
U+AA60 U+AA7F  32
U+AB01 U+AB06  6
U+AB09 U+AB0E  6
U+AB11 U+AB16  6
U+AB20 U+AB26  7
U+AB28 U+AB2E  7
U+AB53        1
U+AB70 U+ABBF  80
U+AC00 U+D7A3  11172
U+E000 U+EB2A  2859
U+EB2C U+EEB7  908
U+F000 U+F013  20
U+F020 U+F07E  95
U+F080 U+F0FF  128
U+F102        1
U+F266 U+F28B  38
U+F28D U+F2E3  87
U+F303 U+F34B  73
U+F3A0 U+F3A1  2
U+F3A3        1
U+F3A6 U+F3A9  4
U+F3AC U+F3E4  57
U+F3E9 U+F3EC  4
U+F3EE U+F3F0  3
U+F3F3 U+F3FD  11
U+F3FF U+F401  3
U+F403 U+F43E  60
U+F440 U+F48B  76
U+F48D U+F494  8
U+F496 U+F4A2  13
U+F4A4 U+F4A7  4
U+F4A9 U+F4B7  15
U+F4BA U+F4CF  22
U+F4D1 U+F4ED  29
U+F4EF U+F554  102
U+F556 U+F575  32
U+F577 U+F5BA  68
U+F5BC U+F5DA  31
U+F5DE U+F5E1  4
U+F5E3 U+F5F9  23
U+F5FB U+F614  26
U+F616 U+F6ED  216
U+F6F0 U+F7EE  255
U+F802 U+F80C  11
U+F817 U+F83B  37
U+F83D        1
U+F83F U+F850  18
U+F85F U+F86B  13
U+F870 U+F882  19
U+F8E5 U+FA6D  393
U+FB00 U+FB06  7
U+FB0F        1
U+FB13 U+FB17  5
U+FB1D U+FB36  26
U+FB38 U+FB3C  5
U+FB3E        1
U+FB40 U+FB41  2
U+FB43 U+FB44  2
U+FB46 U+FBC1  124
U+FBD3 U+FD3F  365
U+FD50 U+FD8F  64
U+FD92 U+FDC7  54
U+FDF0 U+FDFD  14
U+FE00 U+FE01  2
U+FE0E U+FE19  12
U+FE20 U+FE23  4
U+FE30 U+FE52  35
U+FE54 U+FE66  19
U+FE68 U+FE6B  4
U+FE70 U+FE74  5
U+FE76 U+FEFC  135
U+FEFF        1
U+FF01 U+FFBE  190
U+FFC2 U+FFC7  6
U+FFCA U+FFCF  6
U+FFD2 U+FFD7  6
U+FFDA U+FFDC  3
U+FFE0 U+FFE6  7
U+FFE8 U+FFEE  7
U+FFF9 U+FFFD  5
U+10100 U+10102  3
U+10107 U+10133  45
U+10137 U+10143  13
U+10146 U+10175  48
U+10179 U+10182  10
U+10184 U+10186  3
U+1018A        1
U+10190 U+1019B  12
U+10280 U+1029C  29
U+102A0 U+102D0  49
U+10300 U+1031E  31
U+10320 U+10323  4
U+10400 U+1047F  128
U+11000 U+1104D  78
U+11052 U+11075  36
U+1107F        1
U+11300 U+11303  4
U+11305 U+1130C  8
U+1130F U+11310  2
U+11313 U+11328  22
U+1132A U+11330  7
U+11332 U+11333  2
U+11335 U+11339  5
U+1133B U+11344  10
U+11347 U+11348  2
U+1134B U+1134D  3
U+11350        1
U+11357        1
U+1135D U+11363  7
U+11366 U+1136C  7
U+11370 U+11374  5
U+11AB0 U+11ABF  16
U+11FC0 U+11FF1  50
U+11FFF        1
U+16F00 U+16F44  69
U+16F50 U+16F7E  47
U+16F8F U+16F9F  17
U+1D100 U+1D108  9
U+1D110 U+1D112  3
U+1D11E        1
U+1D121 U+1D122  2
U+1D12A U+1D12B  2
U+1D192 U+1D193  2
U+1D1A6 U+1D1A8  3
U+1D1C7 U+1D1CE  8
U+1D300 U+1D356  87
U+1D360 U+1D371  18
U+1D400 U+1D454  85
U+1D456 U+1D49C  71
U+1D49E U+1D49F  2
U+1D4A2        1
U+1D4A5 U+1D4A6  2
U+1D4A9 U+1D4AC  4
U+1D4AE U+1D4B9  12
U+1D4BB        1
U+1D4BD U+1D4C3  7
U+1D4C5 U+1D505  65
U+1D507 U+1D50A  4
U+1D50D U+1D514  8
